id_transaccion,fecha,id_cliente,tipo_producto,monto,moneda,tasa_interes,plazo_dias,canal,estado,sucursal,monto_COP,nombre,tipo_documento,numero_documento,segmento,ciudad,fecha_alta,contacto,productos,activo,estado_cliente
500058,2025-04-03,1013,Cuenta de Ahorros,1236028.0,COP,0,0,Web,Pendiente,Barranquilla,1236028.0,Camila Ortiz,C.C.,107445646,Premium,Pereira,2019-10-04,{'telefono': ''},"['CDT', 'Cuenta Corriente', 'Credito']",False,Camila Ortiz
500240,2024-02-16,1007,CDT,2396224.0,USD,"9,8",0,Web,Aprobada,Barranquilla,9584896000.0,SANTIAGO VARGAS,NIT,521686778,Premium,Manizales,2021-07-11,"{'email': 'santiago.vargas@hotmail.com', 'telefono': ''}",,False,SANTIAGO VARGAS
500262,2024-09-17,1046,Crédito,87546855.0,COP,0,180,Cajero,Aprobada,Cali,87546855.0,  Agroexportadora Valle ,NIT,895639767-7,PYME,Cartagena,2020-01-12,{'telefono': '3100851835'},"['CDT', 'Credito', 'Cuenta Corriente']",True,  Agroexportadora Valle 
500041,2024-08-22,1041,CDT,63512617.0,COP,0,0,Web,Aprobada,Bogotá,63512617.0,Textiles del Caribe S.A.,NIT,880804498-2,Empresarial,Bogotá,2021-04-18,"{'email': 'textiles.del.caribe.s.a.@outlook.com', 'telefono': '+57 329 391 2594'}","['Cuenta Corriente', 'CDT']",True,Textiles del Caribe S.A.
500073,2024-09-11,1015,CDT,1423399.0,USD,13.14,365 ,Web,Aprobada,Cali,5693596000.0,Daniela Suarez,C.C.,81551884,Personal,Bogotá,2019-07-23,,['Cuenta Ahorros'],False,Daniela Suarez
500380,2024-08-26,1033,Crédito,350883.0,USD,9.2 ,0,Oficina,Pendiente,Barranquilla,1403532000.0,Ana Maria Rojas,C.C.,726938389,Premium,Bucaramanga,2021-08-06,{'telefono': '3107225042'},"['Cuenta Corriente', 'Credito', 'Cuenta Ahorros']",True,Ana Maria Rojas
500025,2024-05-03,1006,Crédito,45724356.0,COP,"0,128",0,Oficina,Rechazada,Barranquilla,45724356.0,SANTIAGO VARGAS,C.C.,147468722,Personal,Bogotá,2022-07-10,"{'email': 'santiago.vargas@outlook.com', 'telefono': '(607) 732 7764'}","['CDT', 'Cuenta Corriente', 'Cuenta Ahorros']",False,SANTIAGO VARGAS
500135,2024-05-12,1030,CDT,6327551925.0,COP,12.8 ,365 ,App,Aprobada,Bogotá,6327551925.0,Sofia Ramirez ,NIT,530802345,Premium,Bogotá,2022-12-11,"{'email': 'sofia.ramirez@outlook.com', 'telefono': '3238952955'}",['Credito'],False,Sofia Ramirez 
500020,2024-02-16,1045,Cuenta de Ahorros,-3877402.0,COP,0,0,Cajero,Aprobada,Cali,-3877402.0,TecnoSoluciones SAS,NIT,895649166-7,Empresarial,Cali,2019-01-23,"{'email': 'tecnosoluciones.sas@hotmail.com', 'telefono': ''}","['Credito', 'Cuenta Ahorros']",False,TecnoSoluciones SAS
500207,2024-07-16,1038,Cuenta de Ahorros,529636.0,USD,0,-,Cajero,Aprobada,Cali,2118544000.0,diego torres,NIT,1054729284,Premium,Cali,2019-08-24,"{'email': 'diego.torres@empresa.com.co', 'telefono': '+57 318 369 7021'}","['Credito', 'Cuenta Ahorros']",True,diego torres
500155,2024-08-27,1008,Cuenta de Ahorros,14836914.0,COP,0,-,Cajero,Aprobada,Medellín,14836914.0,LUCIA FERNANDEZ,C.C.,450758146,Premium,Bogotá,2022-07-08,{'telefono': '3269076238'},"['Credito', 'Cuenta Ahorros']",True,LUCIA FERNANDEZ
500088,2024-11-07,1028,CDT,75401823.0,COP,13.4 ,365 ,Cajero,Pendiente,Medellín,75401823.0,Juan  Perez,NIT,631851520,Premium,Pereira,2019-03-27,"{'email': 'juan.perez@outlook.com', 'telefono': '3106763370'}",['Credito'],True,Juan  Perez
500254,2024-06-13,1026,Cuenta Corriente,9561243.0,COP,0,0,Cajero,Aprobada,Sin sucursal,9561243.0,Gabriela Nino,C.C.,309617176,Premium,Cúcuta,2019-07-13,"{'email': 'gabriela.nino@empresa.com.co', 'telefono': '(602) 211 3244'}",['CDT'],False,Gabriela Nino
500129,2024-11-09,1029,Cuenta Corriente,855932.0,USD,0,0,Oficina,En proceso,Bogotá,3423728000.0,Camila Ortiz,NIT,992161337,Premium,Cali,2021-03-22,"{'email': 'camila.ortiz@gmail.com', 'telefono': '3197030144'}",['Credito'],True,Camila Ortiz
500379,2024-07-27,1033,Cuenta Corriente,9074053.0,COP,0,0,App,Pendiente,Medellín,9074053.0,Ana Maria Rojas,C.C.,726938389,Premium,Bucaramanga,2021-08-06,{'telefono': '3107225042'},"['Cuenta Corriente', 'Credito', 'Cuenta Ahorros']",True,Ana Maria Rojas
500347,2024-12-18,1033,Cuenta de Ahorros,5934639.0,COP,0,0,Web,Pendiente,Sin sucursal,5934639.0,Ana Maria Rojas,C.C.,726938389,Premium,Bucaramanga,2021-08-06,{'telefono': '3107225042'},"['Cuenta Corriente', 'Credito', 'Cuenta Ahorros']",True,Ana Maria Rojas
500031,2024-05-28,1038,Cuenta de Ahorros,2447012.0,COP,0,0,Web,Aprobada,Bogotá,2447012.0,diego torres,NIT,1054729284,Premium,Cali,2019-08-24,"{'email': 'diego.torres@empresa.com.co', 'telefono': '+57 318 369 7021'}","['Credito', 'Cuenta Ahorros']",True,diego torres
500183,2024-02-11,1040,CDT,57692951.0,COP,12.47,0,App,Aprobada,Barranquilla,57692951.0,Camila Ortiz,Sin tipo documento,,Sin segmento,Cali,2020-05-03,{'telefono': '+57 311 823 3229'},"['Credito', 'Cuenta Corriente', 'CDT']",True,Camila Ortiz
